,rs_song,nme_song,rs_artist,nme_artist,rs_rank,nme_rank,rs_year,t_song,rs_artist13,t_artist,rs_rank13,t_rank,rs_year13,t_year,nme_song23,nme_artist23,t_artist23,nme_rank23,t_rank23
67,changes,changes,david bowie,david bowie,127,162,1971,,,,,,,,,,,,
68,come as you are,come as you are,nirvana,nirvana,445,418,1992,,,,,,,,,,,,
69,come together,come together,the beatles,the beatles,202,336,1969,,,,,,,,,,,,
70,complete control,complete control,the clash,the clash,361,83,1979,,,,,,,,,,,,
71,dancing in the street,dancing in the street,martha & the vandellas,martha reeves & the vandellas,40,152,1964,,,,,,,,,,,,
72,eight miles high,eight miles high,the byrds,the byrds,150,348,1966,,,,,,,,,,,,
73,eleanor rigby,eleanor rigby,the beatles,the beatles,137,11,1966,,,,,,,,,,,,
74,enter sandman,enter sandman,metallica,metallica,399,362,1991,,,,,,,,,,,,
75,fake plastic trees,fake plastic trees,radiohead,radiohead,376,302,1996,,,,,,,,,,,,
76,family affair,family affair,sly and the family stone,sly and the family stone,138,294,1971,,,,,,,,,,,,
77,god save the queen,god save the queen,the sex pistols,sex pistols,173,27,1977,,,,,,,,,,,,
78,good vibrations,good vibrations,the beach boys,the beach boys,6,10,1966,,,,,,,,,,,,
79,green onions,green onions,booker t & mgs,booker t,181,169,1962,,,,,,,,,,,,
80,hallelujah,hallelujah,jeff buckley,jeff buckley,259,89,1994,,,,,,,,,,,,
81,heart of glass,heart of glass,blondie,blondie,255,19,1978,,,,,,,,,,,,
82,hey joe,hey joe,jimi hendrix,the jimi hendrix experience,198,496,1966,,,,,,,,,,,,
83,hey jude,hey jude,the beatles,the beatles,8,77,1968,,,,,,,,,,,,
84,highway to hell,highway to hell,ac/dc,ac/dc,254,478,1979,,,,,,,,,,,,
85,hound dog,hound dog,elvis presley,elvis presley,19,263,1956,,,,,,,,,,,,
86,how soon is now,how soon is now?,the smiths,the smiths,486,4,1984,,,,,,,,,,,,
87,i can see for miles,i can see for miles,the who,the who,258,182,1967,,,,,,,,,,,,
88,i fought the law,i fought the law,bobby fuller four,bobby fuller four,175,441,1966,,,,,,,,,,,,
89,i will survive,i will survive,gloria gaynor,gloria gaynor,489,463,1978,,,,,,,,,,,,
90,i'll feel a whole lot better,i'll feel a whole lot better,the byrds,the byrds,234,379,1965,,,,,,,,,,,,
91,i'm waiting for the man,i'm waiting for the man,lou reed the velvet underground,the velvet underground,159,201,1967,,,,,,,,,,,,
92,imagine,imagine,john lennon,john lennon,3,476,1971,,,,,,,,,,,,
93,in my life,a day in the life,the beatles,the beatles,23,17,1965,,,,,,,,,,,,
94,it's a man's man's world,it's a man's man's man's world,james brown,james brown,123,288,1966,,,,,,,,,,,,
95,jumpin' jack flash,jumpin' jack flash,rolling stones,the rolling stones,124,131,1968,,,,,,,,,,,,
96,kicks,teenage kicks,paul revere & the raiders,the undertones,400,124,1966,,,,,,,,,,,,
