,rs_rank,rs_artist,rs_song,rs_year
440,441,the dell-vikings,come go with me,1957
441,442,little richard,keep a knockin',1957
442,443,bob marley & the wailers,i shot the sheriff,1973
443,444,sonny & cher,i got you babe,1965
444,445,nirvana,come as you are,1992
445,446,toots and the maytals,pressure drop,1968
446,447,the shangri-las,leader of the pack,1964
447,448,the velvet underground,heroin,1967
448,449,the beatles,penny lane,1967
449,450,glen campbell,by the time i get to phoenix,1967
450,451,chubby checker,the twist,1960
451,452,sam cooke,cupid,1961
452,453,guns ‘n' roses,paradise city,1987
453,454,george harrison,my sweet lord,1970
454,455,nirvana,all apologies,1994
455,456,lloyd price,stagger lee,1958
456,457,ramones,sheena is a punk rocker,1977
457,458,sam & dave,soul man,1965
458,459,muddy waters,rollin' stone,1950
459,460,the chiffons,one fine day,1963
460,461,prince and the revolution,kiss,1986
461,462,the staple singers,respect yourself,1972
462,463,the beatles,rain,1966
463,464,the four tops,standing in the shadows of love,1966
464,465,cheap trick,surrender,1978
465,466,del shannon,runaway,1961
466,467,guns ‘n' roses,welcome to the jungle,1987
467,468,the stooges,search and destroy,1964
468,469,carole king,it's too late,1971
469,470,joni mitchell,free man in paris,1974
470,471,willie nelson,on the road again,1980
471,472,the supremes,where did our love go,1964
472,473,aretha franklin,do right woman - do right man,1967
473,474,funkadelic,one nation under a groove (part. 1),1978
474,475,beastie boys,sabotage,1994
475,476,foreigner,i want to know what love is,1984
476,477,rick james,super freak,1981
477,478,jefferson airplane,white rabbit,1967
478,479,labelle,lady marmalade,1974
479,480,van morrison,into the mystic,1970
480,481,david bowie,young americans,1975
481,482,alice cooper,i'm eighteen,1971
482,483,the cure,just like heaven,1987
483,484,joan jett,i love rock and roll,1981
484,485,paul simon,graceland,1986
485,486,the smiths,how soon is now,1984
486,487,the drifters,under the boardwalk,1964
487,488,fleetwood mac,rhiannon,1975
488,489,gloria gaynor,i will survive,1978
489,490,the rolling stones,brown sugar,1971
490,491,dusty springfield,you don't have to say you love me,1966
491,492,jackson browne,running on empty,1977
492,493,the crystals,then he kissed me,1963
493,494,the eagles,desperado,1973
494,495,smokey robinson,shop around,1960
495,496,the rolling stones,miss you,1978
496,497,weezer,buddy holly,1994
497,498,brook benton,rainy night in georgia,1970
498,499,thin lizzy,the boys are back in town,1976
499,500,boston,more than a feeling,1976
