,nme_rank,nme_artist,nme_song
256,263,Elvis Presley ,Hound Dog
257,264,The Beatles ,Paperback Writer
258,265,Jay-Z ,Empire State of Mind
259,266,The Jacksons ,Shake Your Body (Down to the Ground)
260,267,Suede ,Trash
261,268,Saint Etienne ,Only Love Can Break Your Heart
262,269,Lou Reed ,Perfect Day
263,270,George Harrison ,My Sweet Lord
264,271,Manic Street Preachers ,You Love Us
265,272,Happy Mondays ,Hallelujah
266,273,Ride ,Leave Them All Behind
267,274,The Four Tops ,Reach Out and I'll Be There
268,275,The Orb ,Little Fluffy Clouds
269,276,Eminem ,My Name Is
270,277,Bob Dylan ,Tangled Up in Blue
271,278,Kate Bush ,Hounds of Love
272,279,Pixies ,Velouria
273,280,The Beatles ,She Loves You
274,281,Elbow ,One Day Like This
275,282,Elastica ,Connection
276,283,The Smiths ,Bigmouth Strikes Again
277,284,Supergrass ,Caught By the Fuzz
278,285,Crystal Castles ,Crimewave
279,286,Wings ,Band on the Run
280,287,Daft Punk ,Get Lucky
281,288,James Brown ,It's a Man's Man's Man's World
282,289,Arcade Fire ,Rebellion (Lies)
283,290,Glasvegas ,Daddy's Gone
284,291,Robert Wyatt ,Shipbuilding
285,292,Electric Light Orchestra ,Mr Blue Sky
286,293,Wolfman feat,For Lovers
287,294,Sly and the Family Stone ,Family Affair
288,295,David Bowie ,Fashion
289,296,PJ Harvey ,The Words That Maketh Murder
290,297,The Rolling Stones ,You Can't Always Get What You Want
291,298,House of Pain ,Jump Around
292,299,The Primitives ,Crash
293,300,T Rex ,20th Century Boy
294,301,Dépêche Mode ,Enjoy the Silence
295,302,Radiohead ,Fake Plastic Trees
296,303,Leonard Cohen ,Suzanne
297,304,The Beatles ,Something
298,305,Gloria Jones ,Tainted Love
299,306,Blur ,Beetlebum
300,307,The Jam ,Going Underground
301,308,Foals ,Spanish Sahara
302,309,Wire ,Outdoor Miner
303,310,The Temptations ,Papa Was a Rolling Stone
304,311,The Beatles ,Ticket to Ride
305,312,The Verve ,History
306,313,Prince ,1999
307,314,MC5 ,Kick Out the Jams
308,315,Jimi Hendrix ,All Along the Watchtower
309,316,Pavement ,Here
310,317,Yeah Yeah Yeahs ,Zero
311,318,Johnny Cash ,Ring of Fire
312,319,Funkadelic ,One Nation Under a Groove
313,320,Cornershop ,Brimful of Asha
314,321,Small Faces ,Itchycoo Park
315,322,Bjork ,Big Time Sensuality
316,323,Dépêche Mode ,Personal Jesus
317,324,House of Love ,Destroy the Heart
318,325,Billy Holiday ,Strange Fruit
319,326,Marvin Gaye ,Sexual Healing
320,327,Michael Jackson ,Man in the Mirror
321,328,The Wedding Present ,My Favourite Dress
322,329,Foals ,"Two Steps, Twice"
323,330,Eels ,Novocaine for the Soul
324,331,Massive Attack ,Karmacoma
325,332,Buddy Holly ,Rave On
326,333,Pet Shop Boys ,Go West
327,334,The Stone Roses ,She Bangs the Drums
328,335,Super Furry Animals ,The Man Don't Give a Fuck
329,336,The Beatles ,Come Together
330,337,The Kinks ,All Day and All of the Night
331,338,Gorillaz ,Dare
332,339,Patti Smith ,Because the Night
333,340,Eminem ,Stan
334,341,Kelis ,Caught Out There
335,342,Kasabian ,Club Foot
336,343,The Mamas and the Papas ,California Dreaming
337,344,Kanye West ,Runaway
338,345,Arctic Monkeys ,Fluorescent Adolescent
339,346,Yazoo ,Only You
340,347,Gorillaz ,Clint Eastwood
341,348,The Byrds ,Eight Miles High
342,349,Dépêche Mode ,Just Can't Get Enough
343,350,Amy Winehouse ,Rehab
344,351,Modest Mouse ,Float On
345,352,Simon and Garfunkel ,Cecilia
346,353,The Chemical Brothers ,Hey Boy Hey Girl
347,355,Kelis ,Millionaire
348,356,The Cure ,Close to Me
349,357,The Walker Brothers ,The Sun Ain't Gonna Shine Any More
350,358,Ian Dury and the Blockheads ,Sex and Drugs and Rock and Roll
351,359,Blur ,For Tomorrow
352,360,The Cure ,Pictures of You
353,361,Eric B & Rakim ,Paid in Full
354,362,Metallica ,Enter Sandman
355,363,Credence Clearwater Revival ,Bad Moon Rising
356,364,Suede ,Killing of a Flash Boy
357,365,Sonic Youth ,Teen Age Riot
358,366,The Cure ,Friday I'm in Love
359,367,A Guy Called Gerald ,Voodoo Ray
360,368,My Bloody Valentine ,You Made Me Realise
361,369,Oasis ,Half a World Away
362,370,Suede ,The Wild Ones
363,371,Bjork ,Hyperballad
364,372,Public Enemy ,Don't Believe the Hype
