,rs_song,nme_song,rs_artist,nme_artist,rs_rank,nme_rank,rs_year
123,thank you (falettinme be mice elf again),be my baby,sly and the family stone,the ronettes,402,9,1970
124,monkey gone to heaven,monkeys gone to heaven,pixies,pixies,410,197,1989
125,i feel love,i feel love,donna summer,donna summer,411,3,1977
126,nuthin' but a 'g' thang,nothin' but a 'g' thing,dr. dre,dr dre,419,477,1993
127,lola,lola,the kinks,the kinks,422,473,1970
128,tumbling dice,tumbling dice,the rolling stones,the rolling stones,424,446,1972
129,white man in hammersmith palais,(white man) in hammersmith palais,the clash,the clash,430,69,1978
130,beast of burden,house of jealous lovers,the rolling stones,the rapture,435,107,1981
131,alone again or,alone again or,love,love,436,141,1967
132,push it,push it,salt-n-pepa,salt 'n' peppa,440,466,1987
133,come as you are,come as you are,nirvana,nirvana,445,418,1992
134,paradise city,paradise city,guns ‘n' roses,guns 'n' roses,453,423,1987
135,my sweet lord,my sweet lord,george harrison,george harrison,454,270,1970
136,sheena is a punk rocker,sheena is a punk rocker,ramones,ramones,457,407,1977
137,one nation under a groove (part. 1),one nation under a groove,funkadelic,funkadelic,474,319,1978
138,sabotage,sabotage,beastie boys,beastie boys,475,56,1994
139,young americans,young americans,david bowie,david bowie,481,62,1975
140,how soon is now,how soon is now?,the smiths,the smiths,486,4,1984
141,i will survive,i will survive,gloria gaynor,gloria gaynor,489,463,1978
142,buddy holly,buddy holly,weezer,weezer,497,429,1994
143,the boys are back in town,the boys are back in town,thin lizzy,thin lizzy,499,402,1976
