,rs_song,nme_song,rs_artist,nme_artist,rs_rank,nme_rank,rs_year,t_song,rs_artist13,t_artist,rs_rank13,t_rank,rs_year13,t_year
152,what'd i say (part 1&2),,,,,,,what’d i say,ray charles,ray charles,10,17.0,1959,1959.0
153,what’s going on,what's going on,marvin gaye,marvin gaye,4,202,1971,,,,,,,
154,when doves cry,when doves cry,prince,prince,52,113,1984,,,,,,,
155,where did our love go,,,,,,,where did our love go,the supremes,the supremes,472,31.0,1964,1964.0
156,while my guitar gently weeps,while my guitar gently weeps,the beatles,the beatles,135,382,1968,,,,,,,
157,white man in hammersmith palais,(white man) in hammersmith palais,the clash,the clash,430,69,1978,,,,,,,
158,who's that lady,there is a light that never goes out,the isley brothers,the smiths,348,12,1973,,,,,,,
159,whole lotta love,whole lotta love,led zeppelin,led zeppelin,75,452,1969,,,,,,,
160,wichita lineman,wichita lineman,glen campbell,glen campbell,192,130,1968,,,,,,,
161,won't get fooled again,won't get fooled again,the who,the who,133,175,1971,,,,,,,
162,you can’t always get what you want,you can't always get what you want,rolling stones,the rolling stones,100,297,1969,,,,,,,
163,you keep me hangin' on,you keep me hanging on,diana ross & the supremes,the supremes,339,211,1966,,,,,,,
164,you really got me,you really got me,the kinks,the kinks,82,219,1964,,,,,,,
165,young americans,young americans,david bowie,david bowie,481,62,1975,,,,,,,
166,ziggy stardust,ziggy stardust,david bowie,david bowie,277,480,1972,,,,,,,
