,rs_song,nme_song,rs_artist,nme_artist,rs_rank,nme_rank,rs_year,t_song,t_artist,t_rank,t_year
160,walk this way,walk this way,aerosmith & run dmc,run-dmc,336,258,1976,,,,
161,watching the detectives,watching the detectives,elvis costello,elvis costello & the attractions,354,413,1977,,,,
162,waterloo sunset,waterloo sunset,the kinks,the kinks,42,23,1968,,,,
163,what’s going on,what's going on,marvin gaye,marvin gaye,4,202,1971,,,,
164,when doves cry,when doves cry,prince,prince,52,113,1984,,,,
165,while my guitar gently weeps,while my guitar gently weeps,the beatles,the beatles,135,382,1968,,,,
166,white man in hammersmith palais,(white man) in hammersmith palais,the clash,the clash,430,69,1978,,,,
167,who's that lady,there is a light that never goes out,the isley brothers,the smiths,348,12,1973,,,,
168,whole lotta love,whole lotta love,led zeppelin,led zeppelin,75,452,1969,,,,
169,wichita lineman,wichita lineman,glen campbell,glen campbell,192,130,1968,,,,
170,won't get fooled again,won't get fooled again,the who,the who,133,175,1971,,,,
171,you can’t always get what you want,you can't always get what you want,rolling stones,the rolling stones,100,297,1969,,,,
172,you keep me hangin' on,you keep me hanging on,diana ross & the supremes,the supremes,339,211,1966,,,,
173,you really got me,you really got me,the kinks,the kinks,82,219,1964,,,,
174,young americans,young americans,david bowie,david bowie,481,62,1975,,,,
175,ziggy stardust,ziggy stardust,david bowie,david bowie,277,480,1972,,,,
