,rs_rank,rs_artist,rs_song,rs_year
271,272,Chuck Berry,Sweet Little Sixteen,1958
272,273,The Beatles,Something,1969
273,274,Jefferson Airplane,Somebody to Love,1967
274,275,Bruce Springsteen,Born in the USA,1984
275,276,The Staple Singers,I'll Take you there,1972
276,277,David Bowie,Ziggy Stardust,1972
277,278,The Cure,Pictures of you,1989
278,279,The Dixie Cups,Chapel of Love,1964
279,280,Bill Withers,Ain’t no Sunshine,1971
280,281,Stevie Wonder,You Are the Sunshine of my Life,1972
281,282,Joni Mitchell,Help me,1974
282,283,Blondie,Call Me,1980
283,284,Elvis Costello,"What's so Funny about Peace, Love & …",1979
284,285,Howlin' Wolf,Smoke stack Lightnin',1965
285,286,Pavement,Summer Babe,1992
286,287,Run DMC,Walk this Way,1986
287,288,Barrett Strong,Money (That's What I Want),1960
288,289,The Beatles,Can't Buy me Love,1964
289,290,Eminem feat. Dido,Stan,2000
290,291,The Zombies,She's Not There,1964
291,292,The Clash,Train in Vain,1979
292,293,Al Green,Tired of Being Alone,1971
293,294,Led Zeppelin,Black Dog,1971
294,295,The Rolling Stones,Street Fighting Man,1968
295,296,Bob Marley,"Get Up, Stand Up",1975
296,297,Neil Young,Heart of Gold,1972
297,298,Blondie,One Way or Another,1978
298,299,Prince,Sign 'O' the Times,1987
299,300,Madonna,Like a Prayer,1989
300,301,Rod Stewart,Da Ya Think I'm Sexy,1978
301,302,Willie Nelson,Blue Eyes Crying in the Rain,1975
302,303,The Rolling Stones,Ruby Tuesday,1967
303,304,The Beatles,With a Little Help from my Friends,1967
304,305,James Brown,Say It Loud I'm Black and I'm Proud,1968
305,306,The Jam,That's Entertainment,1980
306,307,Franky Lymon,Why Do Fools Fall in Love,1956
307,308,Jackie Wilson,Lonely Teardrops,1958
308,309,Tina Turner,What's Love Got to Do with it,1984
309,310,Black Sabbath,Iron Man,1971
310,311,The Everly Brothers,Wake Up Little Susie,1957
311,312,Roy Orbison,In Dreams,1963
312,313,Screamin' Jay Hawkins,I Put a Spell on You,1956
313,314,Pink Floyd,Comfortably Numb,1979
314,315,The Animals,Don't Let Me Be Misunderstood,1965
315,316,Pink Floyd,Wish you Were Here,1975
316,317,Jimmy Cliff,Many Rivers to Cross,1969
317,318,Elvis Costello,Alison,1977
318,319,Alice Cooper,Schools out,1972
319,320,Led Zeppelin,Heartbreaker,1969
320,321,Neil Young,Cortez the Killer,1975
321,322,Public Enemy,Fight the Power,1989
322,323,Patti Smith,Dancing Barefoot,1979
323,324,Diana Ross & The Supremes,Baby Love,1964
324,325,The Rascals,Good Lovin,1966
325,326,James Brown,Get Up (I Feel Like Being A) Sex Machine,1970
326,327,Jerry Butler,For your Precious Love,1958
327,328,The Doors,The End,1967
328,329,"Earth, Wind & Fire",That's the Way of the World,1975
329,330,The Queen,We Will Rock you,1977
330,331,Bonnie Raitt,I Can't Make you Love me,1991
331,332,Bob Dylan,Subterranean Homesick Blues,1965
332,333,Norman Greenbaum,Spirit in the sky,1970
333,334,The Rolling Stones,Wild Horses,1971
334,335,"Lou Reed, The Velvet Underground",Sweet Jane,1970
335,336,Aerosmith & Run DMC,Walk this Way,1976
336,337,Michael Jackson,Beat it,1982
337,338,Paul McCartney,Maybe I'm Amazed,1970
338,339,Diana Ross & The Supremes,You Keep me Hangin' on,1966
339,340,The Who,Baba O'Riley,1971
340,341,Jimmy Cliff,The Harder they Come,1975
341,342,Dion & The Belmonts,Runaround Sue,1961
342,343,Lavern Baker,Jim Dandy,1956
343,344,Janis Joplin,Piece of my heart,1968
344,345,Ritchie Valens,La Bamba,1958
345,346,Tupac Shakur,California Love,1996
346,347,Elton John,Candle in the Wind,1973
347,348,The Isley Brothers,Who's that Lady,1973
348,349,Ben E. King,Spanish Harlem,1960
349,350,Little Eva,The Loco-Motion,1962
350,351,The Platters,The Great Pretender,1955
351,352,Elvis Presley,All Shook up,1955
352,353,Eric Clapton,Tears in Heaven,1992
353,354,Elvis Costello,Watching the Detectives,1977
354,355,CCR,Bad Moon Rising,1969
355,356,Eurythmics,Sweet Dreams,1983
356,357,Jimi Hendrix,Little Wing,1968
357,358,Martha Reeves and the Vandellas,Nowhere to Run,1965
358,359,Muddy Waters,Got my Mojo Working,1957
359,360,Roberta Flack,Killing me Softly with his Son,1973
360,361,The Clash,Complete Control,1979
361,362,The Beatles,All you Need is Love,1967
362,363,The Box Tops,The Letter,1967
363,364,Bob Dylan,Highway 61 revisited,1965
364,365,The Righteous Brothers,Unchained Melody,1965
365,366,The Bee Gees,How Deep is your Love,1977
366,367,Cream,White Room,1968
367,368,Depeche Mode,Personal Jesus,1989
368,369,Bo Diddley,I'm a Man,1955
369,370,Jimi Hendrix,The Wind Cries Mary,1967
370,371,The Who,I Can't Explain,1965
371,372,Television,Marquee Moon,1977
372,373,Sam Cooke,Wonderful World,1960
373,374,Chuck Berry,Brown Eyed Handsome Man,1956
374,375,Pink Floyd,Another Brick in the Wall Part 2,1979
375,376,Radiohead,Fake Plastic Trees,1996
376,377,Ray Charles,Hit the Road Jack,1961
377,378,U2,Pride (In the Name of Love),1984
378,379,R.E.M.,Radio Free Europe,1991
379,380,Elton John,Goodbye Yellow Brick Road,1973
380,381,Aaron Neville,Tell it Like it is,1965
381,382,The Verve,Bitter Sweet Symphony,1997
382,383,The Allman Brothers Band,Whipping Post,1971
383,384,The Beatles,Ticket to Ride,1965
384,385,"Crosby, Stills, Nash & Young",Ohio,1970
385,386,Eric B. and Rakim,I Know you Got Soul,1987
386,387,Elton John,Tiny Dancer,1972
387,388,The Police,Roxanne,1978
388,389,The Temptations,Just my Imagination,1971
389,390,The Four Tops,Baby I Need your Loving,1965
390,391,Freda Payne,Band of Gold,1970
391,392,The Five Stairsteps,O-o-h Child,1970
392,393,The Lovin’ Spoonful,Summer in the City,1966
393,394,Elvis Presley,Can't Help Falling in Love,1961
394,395,The Shangri-Las,Remember (Walkin' In The Sand),1964
395,396,Big Star,Thirteen,1972
396,397,Blue Oyster Cult,(Don`t Fear) The Reaper,1976
397,398,Lynyrd Skynyrd,Sweet Home Alabama,1974
398,399,Metallica,Enter Sandman,1991
399,400,Paul Revere & The Raiders,Kicks,1966
400,401,The Shirelles,Tonight's the Night,1960
401,402,Sly and the Family Stone,Thank you (Falettinme Be Mice Elf Again),1970
402,403,Eddie Cochran,C'mon Everybody,1958
403,404,Bob Dylan,Visions of Johanna,1966
404,405,The Carpenters,We've Only Just Begun,1971
405,406,R. Kelly,I Believe I can Fly,1996
406,407,Nirvana,In Bloom,1992
407,408,Aerosmith,Sweet Emotion,1975
408,409,Cream,Crossroads,1969
409,410,Pixies,Monkey Gone to Heaven,1989
410,411,Donna Summer,I Feel Love,1977
411,412,Bobbie Gentry,Ode to Billy Joe,1967
412,413,Little Richard,The Girl Can't help it,1957
413,414,The Coasters,Young Blood,1957
414,415,The Four Tops,I Can't Help myself,1965
415,416,Don Henley,The Boys of Summer,1984
416,417,N.W.A.,Fuck the Police,1988
417,418,"Crosby, Stills & Nash",Suite Judy Blue Eyes,1969
418,419,Dr. Dre,Nuthin' But A 'G' Thang,1993
419,420,The Isley Brothers,It's your thing,1969
420,421,Billy Joel,Piano Man,1973
421,422,The Kinks,Lola,1970
422,423,Elvis Presley,Blue Suede Shoes,1956
423,424,The Rolling Stones,Tumbling Dice,1972
424,425,The Smiths,"William, It was Really Nothing",1984
425,426,Deep Purple,Smoke on the Water,1972
426,427,U2,New Year's Day,1983
427,428,Mitch Ryder & The Detroit Wheels,Devil with a Blue Dress on Good Golly,1966
428,429,Solomon Burke,Everybody Needs Somebody to Love,1964
429,430,The Clash,White Man in Hammersmith Palais,1978
430,431,Fats Domino,Ain't it a Shame,1955
431,432,Gladys Knight and the Pips,Midnight Train to Georgia,1977
432,433,Led Zeppelin,Ramble on,1969
433,434,Wilson Pickett,Mustang Sally,1966
434,435,The Rolling Stones,Beast of Burden,1981
435,436,Love,Alone Again or,1967
436,437,Elvis Presley,Love me Tender,1956
437,438,The Stooges,I Wanna Be your Dog,1969
438,439,John Cougar Mellenkamp,Pink Houses,1984
439,440,Salt-N-Pepa,Push it,1987
440,441,The Dell-Vikings,Come Go with me,1957
441,442,Little Richard,Keep a Knockin',1957
442,443,Bob Marley & The Wailers,I Shot the Sheriff,1973
443,444,Sonny & Cher,I Got you Babe,1965
444,445,Nirvana,Come as you are,1992
445,446,Toots and the Maytals,Pressure Drop,1968
446,447,The Shangri-Las,Leader of the Pack,1964
447,448,The Velvet Underground,Heroin,1967
448,449,The Beatles,Penny Lane,1967
449,450,Glen Campbell,By the Time I Get to Phoenix,1967
450,451,Chubby Checker,The Twist,1960
451,452,Sam Cooke,Cupid,1961
452,453,Guns ‘N' Roses,Paradise City,1987
453,454,George Harrison,My Sweet Lord,1970
454,455,Nirvana,All Apologies,1994
455,456,Lloyd Price,Stagger Lee,1958
456,457,Ramones,Sheena is a Punk Rocker,1977
457,458,Sam & Dave,Soul man,1965
458,459,Muddy Waters,Rollin' Stone,1950
459,460,The Chiffons,One Fine Day,1963
460,461,Prince and the Revolution,Kiss,1986
461,462,The Staple Singers,Respect yourself,1972
462,463,The Beatles,Rain,1966
463,464,The Four Tops,Standing in the Shadows of Love,1966
464,465,Cheap Trick,Surrender,1978
465,466,Del Shannon,Runaway,1961
466,467,Guns ‘N' Roses,Welcome to the Jungle,1987
467,468,The Stooges,Search and Destroy,1964
468,469,Carole King,It's too Late,1971
469,470,Joni Mitchell,Free Man in Paris,1974
470,471,Willie Nelson,On The Road Again,1980
471,472,The Supremes,Where Did our Love Go,1964
472,473,Aretha Franklin,Do Right Woman - Do Right Man,1967
473,474,Funkadelic,One Nation under a Groove (Part. 1),1978
474,475,Beastie Boys,Sabotage,1994
475,476,Foreigner,I Want to Know What Love is,1984
476,477,Rick James,Super Freak,1981
477,478,Jefferson Airplane,White Rabbit,1967
478,479,Labelle,Lady Marmalade,1974
479,480,Van Morrison,Into the Mystic,1970
480,481,David Bowie,Young Americans,1975
481,482,Alice Cooper,I'm Eighteen,1971
482,483,The Cure,Just Like Heaven,1987
483,484,Joan Jett,I Love Rock and Roll,1981
484,485,Paul Simon,Graceland,1986
485,486,The Smiths,How Soon is Now,1984
486,487,The Drifters,Under the Boardwalk,1964
487,488,Fleetwood Mac,Rhiannon,1975
488,489,Gloria Gaynor,I Will Survive,1978
489,490,The Rolling Stones,Brown Sugar,1971
490,491,Dusty Springfield,You Don't Have to Say you Love me,1966
491,492,Jackson Browne,Running on Empty,1977
492,493,The Crystals,Then He Kissed me,1963
493,494,The Eagles,Desperado,1973
494,495,Smokey Robinson,Shop Around,1960
495,496,The Rolling Stones,Miss you,1978
496,497,Weezer,Buddy Holly,1994
497,498,Brook Benton,Rainy Night in Georgia,1970
498,499,Thin Lizzy,The Boys are Back in Town,1976
499,500,Boston,More than a Feeling,1976
